Area Name,Number of males - 2011-13 Avg,Number of females - 2011-13 Avg,Male age at death under 28 days - 2011-13 Avg,Male age at death 1-12 months - 2011-13 Avg,Male age at death 1-4 years - 2011-13 Avg,Male age at death 5-9 years - 2011-13 Avg,Male age at death 10-14 years - 2011-13 Avg,Male age at death 15-19 years - 2011-13 Avg,Male age at death 20-24 years - 2011-13 Avg,Male age at death 25-29 years - 2011-13 Avg,Male age at death 30-34 years - 2011-13 Avg,Male age at death 35-39 years - 2011-13 Avg,Male age at death 40-44 years - 2011-13 Avg,Male age at death 45-49 years - 2011-13 Avg,Male age at death 50-54 years - 2011-13 Avg,Male age at death 55-59 years - 2011-13 Avg,Male age at death 60-64 years - 2011-13 Avg,Male age at death 65-69 years - 2011-13 Avg,Male age at death 70-74 years - 2011-13 Avg,Male age at death 75-79 years - 2011-13 Avg,Male age at death 80-84 years - 2011-13 Avg,Male age at death 85+ years - 2011-13 Avg,Female age at death under 28 days - 2011-13 Avg,Female age at death 1-12 months - 2011-13 Avg,Female age at death 1-4 years - 2011-13 Avg,Female age at death 5-9 years - 2011-13 Avg,Female age at death 10-14 years - 2011-13 Avg,Female age at death 15-19 years - 2011-13 Avg,Female age at death 20-24 years - 2011-13 Avg,Female age at death 25-29 years - 2011-13 Avg,Female age at death 30-34 years - 2011-13 Avg,Female age at death 35-39 years - 2011-13 Avg,Female age at death 40-44 years - 2011-13 Avg,Female age at death 45-49 years - 2011-13 Avg,Female age at death 50-54 years - 2011-13 Avg,Female age at death 55-59 years - 2011-13 Avg,Female age at death 60-64 years - 2011-13 Avg,Female age at death 65-69 years - 2011-13 Avg,Female age at death 70-74 years - 2011-13 Avg,Female age at death 75-79 years - 2011-13 Avg,Female age at death 80-84 years - 2011-13 Avg,Female age at death 85+ years - 2011-13 Avg
New York City,23553,25175,113,29,2,0,4,46,167,204,232,287,479,875,1311,1743,2155,2212,2333,2615,2884,5250,79,17,0,0,0,2,18,37,68,133,289,552,849,1150,1454,1653,1995,2522,3361,10301
Brooklyn,7340,7963,40,19,2,0,4,24,70,90,88,106,164,287,412,556,676,672,719,811,872,1593,29,9,0,0,0,0,10,15,37,58,117,195,292,386,489,523,662,807,1057,3119
Bath Beach,58,68,0,0,0,0,0,0,0,0,1,1,1,1,3,4,4,4,5,7,9,18,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,5,6,10,35
Bayridge,260,266,2,0,0,0,0,0,2,1,2,3,4,9,15,18,21,19,32,27,37,63,0,0,0,0,0,0,0,0,0,2,2,4,7,9,15,16,19,24,42,119
Bedford Stuyvesant,492,503,3,1,0,0,0,1,7,9,7,12,15,32,38,49,48,49,54,53,46,58,1,1,0,0,0,0,1,2,3,7,9,17,25,33,36,41,52,56,57,148
Bensonhurst,807,904,0,2,0,0,0,2,4,6,9,9,14,16,35,47,61,52,71,96,121,252,2,0,0,0,0,0,0,0,3,2,7,15,17,32,39,43,67,81,137,441
Bergen Beach,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,5
Beverly Square W.,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2
Boerum Hill,52,58,0,0,0,0,0,0,0,1,0,1,1,2,2,5,4,5,7,7,6,10,0,0,0,0,0,0,0,0,0,0,0,2,3,2,4,5,5,6,7,23
Borough Park,302,326,2,0,0,0,0,1,3,2,3,4,4,8,13,19,25,23,23,30,41,96,1,0,0,0,0,0,1,0,0,2,2,4,10,9,14,13,22,28,44,168
Brighton Beach,106,117,0,0,0,0,0,0,1,1,1,1,1,3,4,6,7,8,8,12,16,37,0,0,0,0,0,0,0,1,0,0,1,1,2,2,5,6,6,11,15,67
Brooklyn Academy Of Music,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,4
Brooklyn Heights,37,40,0,0,0,0,0,0,1,1,0,0,1,1,1,3,3,3,4,4,5,9,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,4,6,17
Brownsville,205,221,3,1,1,0,1,2,4,2,5,6,7,10,15,18,25,21,24,21,17,19,1,0,0,0,0,0,1,1,4,4,5,12,15,13,19,21,22,29,24,46
Bush Terminal,10,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,3
Bushwick,212,200,1,2,0,0,0,1,4,4,4,5,8,15,19,20,21,21,24,22,18,22,0,0,0,0,0,0,0,0,1,3,4,8,12,14,16,17,19,21,23,55
Canarsie,154,190,2,1,0,0,0,0,1,1,3,2,3,5,12,11,14,18,15,18,14,32,1,0,0,0,0,0,1,0,3,3,4,6,8,12,14,15,14,22,23,62
Carroll Gardens,21,26,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,2,3,3,2,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,2,4,8
City Line,56,52,0,0,0,0,0,0,1,2,1,1,2,3,5,6,7,6,6,5,4,6,1,0,0,0,0,0,0,0,1,1,2,3,3,5,4,4,5,5,7,10
Clinton Hill,75,82,0,0,0,0,0,0,1,2,0,1,2,4,4,6,6,8,10,9,8,11,1,0,0,0,0,0,0,0,1,1,1,3,3,5,6,6,9,8,10,27
Cobble Hill,17,20,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,8
Columbia St,18,22,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,2,3,8
Coney Island,144,172,1,0,0,0,0,0,0,2,1,1,2,3,4,10,11,11,12,19,21,45,0,0,0,0,0,0,0,0,0,0,2,3,4,6,11,9,12,17,25,80
Crown Heights,217,243,3,0,0,0,0,0,2,3,3,4,6,11,14,21,20,24,23,24,23,30,0,1,0,0,0,0,0,0,2,3,4,8,11,17,19,16,25,27,27,77
