MapID,Area Name,One-family dwellings,Two-family dwellings,Three-family dwellings,4-6 family dwellings,Over 6 family dwellings,Misc. walkups,Elevator apartments,Old-law Tenements,Cooperatives,Condominium buildings,Multi-use residences,Warehouses,Heavy manufacture,Light manufacture,Other industrial,Garages & gas stations,Hotels,Hospitals,Health centers & clinics,Nursing homes,Misc. health facilities,Theatres,1- and 2-story store bldgs,Department stores,Shopping centers,Misc. store buildings,Loft buildings,Religious buildings,Asylums and homes,Office buildings,Places of public assembly,Outdoor rec facilities,Transportation facilities,Utility properties,Vacant land,Schools,Government installations,Miscellaneous
,Bronx,21895,29333,11135,2510,4080,116,2203,831,271,47,212,2842,37,37,71,72,35,4,2017,8,20,567,9,819,173,562,146,562,167,1859,16,248,3870,450,193,210,476,412
,Brooklyn,60547,95657,35603,17338,8404,476,2535,2834,562,171,1206,5494,98,34,168,112,94,45,3510,16,39,2502,81,2189,193,1673,328,750,3268,18226,51,452,6954,1050,332,438,1835,1303
,Manhattan,1994,1815,1482,1379,6811,2165,3655,183,9,12,28,866,536,57,94,46,67,114,894,18,2,1554,726,918,125,2265,213,318,2232,2602,104,147,1156,610,193,2352,3443,118
,Queens,154004,91041,23409,7755,2554,317,1269,2095,891,60,695,4809,140,31,75,106,46,19,3623,6,75,2273,11,1449,102,1687,292,672,863,9009,25,746,7775,593,299,40,986,604
,Staten Island,74859,28183,848,509,127,112,61,336,19,18,50,1054,14,8,20,35,25,3,931,7,96,452,0,245,34,775,86,935,191,1187,48,278,6295,182,125,4,30,269
,New York City,313299,246029,72477,29491,21976,3186,9723,6279,1752,308,2191,15065,825,167,428,371,267,185,10975,55,232,7348,827,5620,627,6962,1065,3237,6721,32883,244,1871,26050,2885,1142,3044,6770,2706
10001,10001 - Fur-Flower District,5,2,5,8,29,20,56,13,0,3,0,64,43,0,2,0,0,2,47,1,0,147,122,18,2,188,3,5,47,48,4,22,45,9,9,36,47,3
10002,10002 - Chinatown/Lower East Side,8,5,4,17,531,1,109,11,0,0,4,43,24,3,4,4,3,2,90,0,0,126,82,62,9,41,9,44,83,124,12,2,47,23,9,110,59,5
10003,10003 - Cooper Square/Union Square,56,61,33,64,399,83,133,3,0,0,0,21,35,7,14,6,6,17,33,0,0,56,31,44,11,99,16,9,113,170,0,3,12,51,7,104,182,3
10004,10004 - Battery/Governors Island,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,15,1,1,0,39,7,7,17,10,2,3,2,1,4,0,2,2
10005,10005 - Wall Street,0,0,0,0,0,2,8,0,0,0,0,0,5,0,0,0,0,0,1,0,0,3,0,1,0,33,1,0,13,3,4,0,1,0,1,0,1,1
10006,10006 - Trinity,0,0,0,0,3,0,7,0,0,0,0,1,3,0,0,0,0,0,1,0,0,10,0,1,0,14,1,0,8,2,1,0,6,2,1,0,0,4
10007,10007 - City Hall,0,1,1,1,4,0,17,0,0,0,0,3,3,0,1,0,0,0,6,1,0,17,16,4,0,51,1,4,60,13,1,3,3,3,2,0,12,4
10009,10009 - East Village/Stuyvesant Town,7,10,11,33,339,10,140,9,0,1,1,13,0,0,5,2,0,2,23,0,0,21,5,37,11,4,6,14,60,96,2,6,103,13,4,228,123,3
10010,10010 - Madison Square/Cooper Village,5,4,1,0,36,27,79,0,0,0,0,14,16,1,0,0,4,1,17,0,0,29,39,8,3,121,5,6,53,45,0,0,4,16,4,35,53,2
10011,10011 - Chelsea,125,88,85,111,192,73,132,15,0,0,1,25,21,0,2,0,3,5,43,0,0,93,75,27,10,83,12,10,182,199,5,4,13,38,7,138,261,4
10012,10012 - Village/Noho/Soho,13,16,16,14,243,17,60,4,0,0,1,17,10,0,2,1,0,2,51,1,0,77,62,11,1,77,2,1,122,133,0,0,12,14,2,37,146,7
10013,10013 - Tribeca/Chinatown,37,8,7,6,234,3,71,14,1,0,3,45,22,0,0,0,0,0,58,0,0,152,124,17,0,180,5,13,256,178,5,9,23,11,10,26,117,12
10014,10014 - Greenwich Village,214,191,113,82,188,67,79,4,1,3,1,29,13,0,1,2,2,5,59,3,0,56,16,21,0,52,3,16,105,247,10,1,20,17,5,149,180,6
10016,10016 - Murray Hill,47,31,26,24,105,88,168,0,0,0,0,20,39,1,6,1,1,5,11,0,0,47,20,34,4,205,10,6,75,182,2,7,45,11,17,68,103,4
10017,10017 - Grand Central/United Nations,22,10,4,3,19,3,32,0,0,0,0,5,22,0,0,0,0,0,17,1,0,36,0,9,1,165,3,10,39,28,4,9,8,2,9,5,26,1
10018,10018 - Garment District,0,0,0,0,24,0,14,14,0,2,0,44,36,0,2,0,0,1,25,2,0,43,77,9,2,187,5,1,15,29,6,17,28,3,3,26,21,2
10019,10019 - Midtown/Clinton,4,4,4,13,165,5,112,13,0,0,1,35,44,2,2,1,1,21,15,1,0,58,8,19,3,135,13,4,80,65,9,6,37,14,6,122,76,5
10020,10020 - Rockefeller Center,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0
10021,10021 - Lenox Hill,189,59,16,5,151,80,114,0,0,0,1,10,7,5,6,1,4,0,6,2,0,30,0,19,3,42,7,0,64,76,6,6,2,23,8,70,171,5
10022,10022 - Sutton Place/Beekman Place,48,22,16,10,102,36,88,0,0,0,0,8,25,0,0,0,0,1,22,2,0,122,5,15,1,170,8,5,71,103,9,5,32,8,12,27,124,3
10023,10023 - Lincoln Center/Ansonia,61,30,21,31,186,331,125,0,0,0,0,2,11,0,2,1,0,6,7,0,0,6,0,30,1,26,8,8,86,36,0,2,4,26,1,26,184,0
10024,10024 - Upper West Side,109,113,54,99,237,378,159,2,0,0,0,12,16,0,0,1,2,2,8,0,0,11,0,28,3,5,6,5,83,28,0,0,10,35,4,23,328,0
10025,10025 - Cathedral,59,57,42,53,221,147,271,1,0,0,0,16,46,3,4,2,2,2,17,0,0,11,1,36,12,9,2,9,91,11,0,6,31,40,3,144,245,2
10026,"10026 - Central Harlem, South",11,69,122,58,175,74,108,0,0,0,0,9,3,0,2,0,1,0,7,0,0,6,2,25,4,6,5,6,73,13,0,0,44,8,2,147,48,4
10027,10027 - Manhattanville,55,214,269,225,270,205,156,18,3,0,3,44,6,0,5,4,3,2,47,1,0,37,11,106,13,26,13,23,65,66,4,1,143,40,6,117,58,2
10028,10028 - Yorkville,109,44,19,16,341,45,134,0,0,0,1,6,1,0,1,1,1,0,13,0,0,18,3,15,2,11,6,1,50,97,3,0,3,14,4,57,188,3
10029,"10029 - East Harlem, South",22,14,71,63,402,22,132,11,0,3,1,68,4,5,6,1,7,0,67,0,1,57,9,56,12,17,8,19,43,182,1,4,126,30,4,111,39,0
10030,"10030 - Central Harlem, Middle",87,124,91,92,231,84,66,0,0,0,0,11,1,0,0,1,0,2,9,0,0,4,0,32,4,7,4,14,40,45,0,1,52,9,4,101,15,0
10031,10031 - Hamilton Heights,108,215,112,148,294,125,206,3,0,0,0,11,5,0,3,4,1,2,21,0,0,5,1,44,6,8,7,12,31,39,0,6,32,18,4,40,101,2
10032,10032 - South Washington Heights,33,89,54,34,297,20,183,1,0,0,0,29,1,15,9,0,4,0,21,0,0,8,0,23,5,5,10,7,8,16,0,1,33,10,7,44,50,1
10033,10033 - Washington Heights,10,27,12,14,263,20,159,1,0,0,0,34,2,0,2,0,3,0,37,0,0,20,0,29,2,10,2,8,5,16,3,1,28,20,2,3,47,1
10034,10034 - Inwood,9,11,9,18,200,0,67,5,1,0,2,48,0,2,0,0,1,0,44,0,0,6,0,11,0,9,3,17,3,1,2,13,20,10,5,4,36,3
10035,"10035 - East Harlem, Middle",20,48,206,81,122,76,88,27,3,0,6,87,3,2,3,5,8,0,30,1,1,37,23,52,7,36,2,37,34,90,9,5,154,20,9,148,20,16
10036,10036 - Theatre District/Clinton,8,9,9,16,128,8,53,13,0,0,2,63,58,0,0,3,6,37,14,2,0,96,17,16,5,130,5,5,48,80,6,3,27,7,7,107,57,3
10037,"10037 - East Harlem, North",6,15,24,43,57,15,35,4,0,0,0,10,0,2,1,2,0,0,10,0,0,8,2,18,6,0,7,9,11,17,0,0,24,3,1,28,22,2
10038,10038 - South St. Seaport/Chinatown,3,2,3,5,28,0,37,1,0,0,0,15,13,1,0,0,0,0,8,2,0,40,18,11,1,46,0,6,48,21,4,6,9,9,4,3,10,11
10039,"10039 - Central Harlem, North",0,0,0,2,140,1,34,0,0,0,0,15,1,0,1,0,0,0,4,0,0,4,0,9,4,4,0,10,7,1,5,2,23,2,2,30,9,0
10040,10040 - North Washington Heights,2,3,4,1,193,2,94,1,0,0,0,8,0,0,1,3,0,0,29,0,0,16,0,9,0,2,1,5,3,6,0,3,10,10,1,0,22,0
10044,10044 - Roosevelt Island,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,3,0
10128,10128 - Yorkville,172,73,20,9,323,41,119,3,0,0,2,16,2,0,0,1,1,0,11,0,0,13,7,26,1,9,8,5,46,59,1,0,7,33,2,104,215,0
10280,10280 - Battery Park City,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,1,1,0,0,1
10301,10301 - New Brighton/Grymes Hill,3921,1847,228,166,40,33,28,8,2,1,3,128,2,0,5,9,3,1,54,0,3,39,0,27,6,79,10,46,12,200,4,12,483,38,14,0,15,30
10302,10302 - Port Richmond,2307,1328,38,29,12,11,2,32,4,2,4,79,0,0,2,2,6,0,100,0,10,33,0,24,3,43,5,3,3,136,2,24,236,4,7,1,0,26
10303,10303 - Mariners Harbour/Point Ivory,3272,1253,38,31,6,7,3,54,4,1,13,77,0,0,1,2,3,2,35,1,6,26,0,15,0,30,3,22,15,53,10,67,356,9,4,0,0,30
10304,10304 - Stapleton/Fox Hills,6068,1568,124,67,21,15,17,40,1,2,1,93,0,1,1,6,3,0,64,0,1,47,0,33,3,75,14,46,12,155,0,28,498,22,7,1,8,13
10305,10305 - Rosebank,6553,2311,164,56,21,13,6,15,1,7,1,134,3,3,2,3,2,0,147,0,5,62,0,10,1,94,9,45,21,121,4,43,862,17,11,0,4,19
10306,10306 - New Dorp/Richmondtown,11778,2914,96,55,13,15,4,4,0,1,0,107,1,0,3,3,1,0,162,0,8,62,0,18,8,122,13,72,18,119,1,27,1118,23,12,0,2,17
10307,10307 - Tottenville,2227,1380,13,9,2,1,1,8,0,0,1,30,0,0,0,1,0,0,21,0,3,18,0,11,1,10,3,40,3,31,0,30,317,4,6,0,0,12
10308,10308 - Great Kills,5822,1842,24,8,3,4,0,2,0,0,0,32,0,0,0,0,1,0,62,0,4,35,0,7,1,26,7,52,13,44,13,16,244,9,5,0,2,6
10309,10309 - Princes Bay/Woodrow,5261,2957,12,0,0,2,0,85,1,3,8,100,2,1,2,0,2,0,56,1,17,30,0,10,5,53,7,265,11,46,4,13,707,10,6,0,0,51
10310,10310 - West New Brighton,3723,1408,48,71,12,8,2,27,2,1,16,150,0,1,2,3,1,0,70,0,2,47,0,30,2,72,5,17,7,119,7,7,173,11,8,2,1,27
10312,10312 - Eltingville/Annadale,13319,3903,24,12,2,2,0,1,0,0,0,54,0,0,1,0,0,0,44,0,11,25,0,20,3,77,6,337,14,74,0,27,854,15,15,0,0,16
10314,10314 - Castleton Corners/New Springvill,12445,6308,104,21,9,11,2,63,4,0,3,95,6,2,1,9,3,0,153,5,26,39,0,44,3,127,9,71,67,125,3,19,530,29,29,0,0,17
10451,10451 - Melrose,48,67,194,16,94,0,86,61,17,3,22,105,2,1,3,0,1,1,64,0,3,33,2,29,0,43,2,20,10,71,4,26,137,28,9,26,16,17
10452,10452 - Highbridge,74,224,188,24,216,1,219,14,2,0,2,143,2,1,7,1,0,0,96,0,0,12,0,32,5,7,5,54,3,28,0,8,118,21,7,0,24,14
10453,10453 - Morris Heights,161,691,249,54,222,15,235,10,0,0,2,85,0,1,4,2,0,0,93,0,0,12,0,27,7,14,8,43,3,36,0,4,66,29,6,2,16,7
10454,10454 - Mott Haven/Port Morris,218,360,143,14,198,7,73,96,28,3,55,127,1,1,2,0,1,0,46,1,0,19,1,32,4,15,3,24,3,53,5,26,91,17,4,27,3,36
