"MapID","Area Name","White alone persons","Black or African-American alone persons","Native American alone persons","Asian alone persons","Pacific Islander alone persons","Other race alone persons","Persons of two or more race","Persons under 5 years","Persons 5-9 years","Persons 10-14 years","Persons 15-17 years","Persons 18 and 19 years","Persons 20 years","Persons 21 years","Persons 22-24 years","Persons 25-29 years","Persons 30-34 years","Persons 35-39 years","Persons 40-44 years","Persons 45-49 years","Persons 50-54 years","Persons 55-59 years","Persons 60 and 61 years","Persons 62-64 years","Persons 65 and 66 years","Persons 67-69 years","Persons 70-74 years","Persons 75-79 years","Persons 80-84 years","Persons 85 years and over"
"","Bronx",295351,476525,8375,52462,706,551787,51579,107454,100908,98242,60827,42306,26691,24427,70779,116523,104501,94879,88903,95959,93733,80591,30009,38130,22843,28747,39522,29302,20296,21213
"","Brooklyn",1128927,871223,8730,304037,1001,225869,67065,193851,166770,154230,93518,56526,35020,34416,118826,243896,225031,189416,171510,160160,160158,150027,56864,79058,48676,56711,71850,54209,40679,45450
"","Manhattan",928883,244787,6173,192573,946,192292,69335,82024,62937,59514,34880,37606,19019,20476,80910,198419,172294,127798,112153,105301,101282,93290,38919,52995,32515,40687,56803,39615,29875,35677
"","Queens",936414,423451,8976,572759,1091,288733,78587,144634,127945,123991,76308,48034,30832,29112,98192,191403,184220,167804,160604,161311,164313,154210,57064,74181,46028,55891,72478,54970,41006,45480
"","Staten Island",355407,48941,1134,38052,251,18584,10955,27420,29083,30516,18809,11114,6504,7014,18524,31798,29666,28694,33044,33939,35534,32894,12505,17459,10184,13118,16761,11215,8576,8953
"","New York City",3644982,2064927,33388,1159883,3995,1277265,277521,555383,487643,466493,284342,195586,118066,115445,387231,782039,715712,608591,566214,556670,555020,511012,195361,261823,160246,195154,257414,189311,140432,156773
10001,"10001 - Fur-Flower District",15563,1386,33,5277,0,432,733,666,535,498,355,808,288,413,1539,3249,3081,2022,2066,1616,1221,1418,481,543,320,676,520,619,289,202
10002,"10002 - Chinatown/Lower East Side",24539,6421,196,33103,11,10277,2821,2787,3139,3065,1967,1517,603,999,3407,7950,6438,5592,4925,5907,4887,4333,2142,3500,1692,1691,3442,2562,2124,2699
10003,"10003 - Cooper Square/Union Square",48166,2731,308,8315,9,1243,1953,1944,880,729,614,6696,1650,1133,3227,9621,7782,5178,3923,2979,3089,2992,996,2468,1065,1418,1367,1160,764,1048
10004,"10004 - Battery/Governors Island",4024,135,0,1020,6,182,201,395,190,113,83,54,21,50,380,1081,988,734,456,328,213,219,52,71,35,17,46,15,18,8
10005,"10005 - Wall Street",5625,177,1,1696,0,198,138,300,285,107,104,127,60,189,806,2213,1109,1158,497,227,211,196,7,70,46,0,81,39,0,1
10006,"10006 - Trinity",2018,79,0,621,0,80,151,209,30,52,47,0,0,14,348,640,677,285,195,184,64,144,27,21,0,0,11,0,0,0
