MapID,area,cholesterol,insurance,colonoscopy,mammagrophy,older_men,older_women,pap_smear,high_bp,dentist,doctor,borough
1,New York City,75.9,19.8,60.1,74.2,26.8,24.9,79.8,73.4,60.4,73.9,NA
5,Bronx,72.1,28.7,55.9,74.4,22.9,21.9,78.7,73.5,54.7,74.1,NA
47,Brooklyn,75,19.9,57.5,70.9,24.9,23.3,79.6,73,57.8,74.2,NA
61,Manhattan,78,14.9,64.7,77.1,30.5,28.4,82.4,71.4,68.8,71,NA
81,Queens,77,19.1,61.8,75.8,27.7,24.7,78.1,74.6,59.7,75.3,NA
85,Staten Island,79.4,13.7,63.3,74.7,32.4,31.7,83.2,76,66.5,74.7,NA
10451,10451 - Melrose,71,33,53.1,73.1,20.7,19.3,76.9,74.7,49.8,74.1,5
10452,10452 - Highbridge,68.8,35.7,49.7,72.2,20.1,18.4,75.9,71.8,47.9,71.9,5
10453,10453 - Morris Heights,68.4,34.5,50,72.8,20.3,18.6,76.4,71.9,48.7,72.3,5
10454,10454 - Mott Haven/Port Morris,67,40.6,47.1,69.7,19.7,16.9,73.2,72.3,43.9,70.9,5
10455,10455 - The Hub/Longwood,68.3,38.1,48.8,71.1,20.4,17.8,75.3,72.2,46.7,71.5,5
10456,10456 - Morrisania,69.8,35.8,49.5,71.9,19.5,17.8,75,73.7,45.3,73.3,5
10457,10457 - Tremont/East Tremont,68.9,35.1,49.7,72.3,20.3,18.3,75.9,72.2,48,72.4,5
10458,10458 - Belmont/Fordham/Bedford Park,66.5,33.8,50.3,71.8,21.9,19.8,75.4,69.5,50.1,70.7,5
10459,10459 - Longwood/Morrisania,68.7,36.7,49.7,71.6,20.2,18.1,75.9,72.5,47.3,72.1,5
10460,10460 - West Farms/Crotona,68.7,36.7,49.1,71.2,20.3,18.2,75.2,72.4,46.7,72.1,5
10461,10461 - Westchester/Morris Park,76.7,17.9,64.7,76.3,29.1,29,82.2,74.1,67.7,74.6,5
10462,10462 - Parkchester/Van Nest,74.5,22.1,60.6,76.5,25.3,25.3,81,73.3,61.7,74.8,5
10463,10463 - Kingsbridge (Bronx only),78.3,17.4,66.8,77.8,29.4,29,84.1,76.6,69.9,76.6,5
10464,10464 - City Island,84.3,8,74.6,80.1,34,35.8,87.3,78.2,80,78.5,5
10465,10465 - Throgs Neck/Country Club,78,17.2,66.2,76.5,29.4,29.6,83.4,75.4,68.7,75.4,5
10466,10466 - Wakefield,76.7,20.7,62.7,78.7,22.6,23.8,82.5,76.7,58.1,79.2,5
10467,10467 - Norwood/Williamsbridge,72.9,25.9,57.4,75.4,23.4,22.6,79.6,73.3,56.2,74.5,5
10468,10468 - University Heights,69.9,31.8,53,73.6,22.5,20.7,78,71.6,53.7,72.2,5
10469,10469 - Williamsbridge/Baychester,78.4,17.3,66.4,79.7,24.9,26.3,84.4,77.3,64,79.5,5
