MapID,Area Name,Cholesterol screening among adults aged >=18 years,Current lack of health insurance among adults aged 18-64 years,"Fecal occult blood test, sigmoidoscopy, colonoscopy aged 50-75",Mammography use among women aged 50-74 years,Older men aged >=65 years up to date on core preventive svcs,Older women aged >=65 years up to date core preventive svcs ,Papanicolaou smear use among adult women aged 21-65 years ,Taking medicine for high blood pressure adults >=18 yrs w hb (%x10),Visits to dentist or dental clinic among adults aged >=18 years ,"Visits to doctor for routine checkup in past yr,adults >=18 yrs ",borough
1,New York City,759,198,601,742,268,249,798,734,604,739,
5,Bronx,721,287,559,744,229,219,787,735,547,741,
47,Brooklyn,750,199,575,709,249,233,796,730,578,742,
61,Manhattan,780,149,647,771,305,284,824,714,688,710,
81,Queens,770,191,618,758,277,247,781,746,597,753,
85,Staten Island,794,137,633,747,324,317,832,760,665,747,
10451,10451 - Melrose,710,330,531,731,207,193,769,747,498,741,BRONX
10452,10452 - Highbridge,688,357,497,722,201,184,759,718,479,719,BRONX
10453,10453 - Morris Heights,684,345,500,728,203,186,764,719,487,723,BRONX
10454,10454 - Mott Haven/Port Morris,670,406,471,697,197,169,732,723,439,709,BRONX
10455,10455 - The Hub/Longwood,683,381,488,711,204,178,753,722,467,715,BRONX
10456,10456 - Morrisania,698,358,495,719,195,178,750,737,453,733,BRONX
10457,10457 - Tremont/East Tremont,689,351,497,723,203,183,759,722,480,724,BRONX
10458,10458 - Belmont/Fordham/Bedford Park,665,338,503,718,219,198,754,695,501,707,BRONX
10459,10459 - Longwood/Morrisania,687,367,497,716,202,181,759,725,473,721,BRONX
10460,10460 - West Farms/Crotona,687,367,491,712,203,182,752,724,467,721,BRONX
10461,10461 - Westchester/Morris Park,767,179,647,763,291,290,822,741,677,746,BRONX
10462,10462 - Parkchester/Van Nest,745,221,606,765,253,253,810,733,617,748,BRONX
10463,10463 - Kingsbridge (Bronx only),783,174,668,778,294,290,841,766,699,766,BRONX
10464,10464 - City Island,843,80,746,801,340,358,873,782,800,785,BRONX
10465,10465 - Throgs Neck/Country Club,780,172,662,765,294,296,834,754,687,754,BRONX
10466,10466 - Wakefield,767,207,627,787,226,238,825,767,581,792,BRONX
10467,10467 - Norwood/Williamsbridge,729,259,574,754,234,226,796,733,562,745,BRONX
10468,10468 - University Heights,699,318,530,736,225,207,780,716,537,722,BRONX
10469,10469 - Williamsbridge/Baychester,784,173,664,797,249,263,844,773,640,795,BRONX
10470,10470 - Woodlawn/Wakefield,781,143,685,786,286,298,852,749,685,771,BRONX
10471,10471 - Riverdale/Fieldston,799,105,724,790,317,331,853,771,770,780,BRONX
10472,10472 - Soundview,700,341,515,723,209,192,758,728,495,723,BRONX
10473,10473 - Clasons Point,742,264,591,764,228,222,808,758,573,761,BRONX
10474,10474 - Hunts Point,659,370,485,717,208,181,763,687,473,705,BRONX
10475,10475 - Co-op City/Eastchester,824,161,687,803,259,266,854,814,657,820,BRONX
11201,11201 - Brooklyn Heights/Cobble Hill,765,105,679,758,311,303,862,686,737,735,BROOKLYN
11203,11203 - East Flatbush,802,171,634,762,219,229,848,781,566,812,BROOKLYN
11204,11204 - Parkville/Bensonhurst,748,188,543,665,266,240,738,739,577,716,BROOKLYN
11205,11205 - Fort Greene,692,214,568,718,232,212,797,674,568,712,BROOKLYN
11206,11206 - Williamsburg/Bedford-Stuyvesant,684,286,496,677,217,186,762,687,493,703,BROOKLYN
11207,11207 - East New York,730,279,525,706,202,187,796,735,476,754,BROOKLYN
11208,11208 - Cypress Hills,721,294,497,691,202,185,773,722,472,737,BROOKLYN
11209,11209 - Bay Ridge,782,131,629,712,302,286,825,727,686,732,BROOKLYN
11210,11210 - Vanderveer,785,146,635,751,257,252,845,754,626,779,BROOKLYN
11211,11211 - Williamsburg,683,215,540,673,262,221,774,666,576,682,BROOKLYN
11212,11212 - Brownsville,748,261,535,715,192,184,793,758,457,780,BROOKLYN
11213,11213 - Brower Park/Crown Heights,753,213,573,730,211,202,812,757,516,774,BROOKLYN
11214,11214 - Bath Beach/Bensonhurst,767,178,562,676,271,253,744,750,598,729,BROOKLYN
11215,11215 - Park Slope/Windsor Terrace,775,89,688,764,319,315,883,666,769,725,BROOKLYN
11216,11216 - Bedford-Stuyvesant,753,174,614,760,221,224,843,737,580,774,BROOKLYN
11217,11217 - Park Slope/Gowanus,761,126,656,758,283,272,863,687,702,730,BROOKLYN
11218,11218 - Kensington/Windsor Terrace,735,192,557,688,267,243,773,714,596,714,BROOKLYN
11219,11219 - Borough Park,701,249,478,627,244,199,686,731,492,692,BROOKLYN
